Temperature = 0 °C, Humidity = 0 %, Pressure = 1005 hPa
Temperature = 24 °C, Humidity = 70 %, Pressure = 976 hPa
Temperature = 39 °C, Humidity = 70 %, Pressure = 976 hPa
Temperature = 25 °C, Humidity = 98 %, Pressure = 976 hPa
Temperature = 20 °C, Humidity = 98 %, Pressure = 934 hPa
Temperature = 15 °C, Humidity = 33 %, Pressure = 934 hPa
Temperature = 28 °C, Humidity = 33 %, Pressure = 934 hPa
Temperature = 24 °C, Humidity = 50 %, Pressure = 969 hPa
Temperature = 16 °C, Humidity = 50 %, Pressure = 969 hPa
Temperature = 20 °C, Humidity = 84 %, Pressure = 969 hPa
Temperature = 40 °C, Humidity = 84 %, Pressure = 1088 hPa
Temperature = 31 °C, Humidity = 22 %, Pressure = 1088 hPa
Temperature = 20 °C, Humidity = 22 %, Pressure = 1088 hPa
Temperature = 20 °C, Humidity = 54 %, Pressure = 1056 hPa
Temperature = 17 °C, Humidity = 54 %, Pressure = 1056 hPa
Temperature = 35 °C, Humidity = 94 %, Pressure = 1056 hPa
Temperature = 32 °C, Humidity = 94 %, Pressure = 1051 hPa
Temperature = 36 °C, Humidity = 51 %, Pressure = 1051 hPa
Temperature = 15 °C, Humidity = 51 %, Pressure = 1051 hPa
Temperature = 16 °C, Humidity = 92 %, Pressure = 927 hPa
Temperature = 35 °C, Humidity = 92 %, Pressure = 927 hPa
Temperature = 19 °C, Humidity = 87 %, Pressure = 927 hPa
Temperature = 27 °C, Humidity = 87 %, Pressure = 923 hPa
Temperature = 33 °C, Humidity = 87 %, Pressure = 923 hPa
Temperature = 16 °C, Humidity = 87 %, Pressure = 923 hPa
Temperature = 25 °C, Humidity = 64 %, Pressure = 968 hPa
Temperature = 18 °C, Humidity = 64 %, Pressure = 968 hPa
Temperature = 35 °C, Humidity = 27 %, Pressure = 968 hPa
Temperature = 33 °C, Humidity = 27 %, Pressure = 1027 hPa
Temperature = 25 °C, Humidity = 35 %, Pressure = 1027 hPa
Temperature = 15 °C, Humidity = 35 %, Pressure = 1027 hPa
Temperature = 27 °C, Humidity = 43 %, Pressure = 935 hPa
Temperature = 32 °C, Humidity = 43 %, Pressure = 935 hPa
Temperature = 27 °C, Humidity = 35 %, Pressure = 935 hPa
Temperature = 18 °C, Humidity = 35 %, Pressure = 954 hPa
Temperature = 23 °C, Humidity = 62 %, Pressure = 954 hPa
Temperature = 18 °C, Humidity = 62 %, Pressure = 954 hPa
Temperature = 28 °C, Humidity = 77 %, Pressure = 1043 hPa
Temperature = 37 °C, Humidity = 77 %, Pressure = 1043 hPa
Temperature = 15 °C, Humidity = 99 %, Pressure = 1043 hPa
Temperature = 18 °C, Humidity = 99 %, Pressure = 1086 hPa
Temperature = 18 °C, Humidity = 54 %, Pressure = 1086 hPa
Temperature = 33 °C, Humidity = 54 %, Pressure = 1086 hPa
Temperature = 26 °C, Humidity = 49 %, Pressure = 1100 hPa
Temperature = 33 °C, Humidity = 49 %, Pressure = 1100 hPa
Temperature = 19 °C, Humidity = 29 %, Pressure = 1100 hPa
Temperature = 31 °C, Humidity = 29 %, Pressure = 900 hPa
Temperature = 15 °C, Humidity = 44 %, Pressure = 900 hPa
Temperature = 23 °C, Humidity = 44 %, Pressure = 900 hPa
Temperature = 40 °C, Humidity = 32 %, Pressure = 937 hPa
Temperature = 33 °C, Humidity = 32 %, Pressure = 937 hPa
Temperature = 18 °C, Humidity = 27 %, Pressure = 937 hPa
Temperature = 15 °C, Humidity = 27 %, Pressure = 930 hPa
Temperature = 39 °C, Humidity = 47 %, Pressure = 930 hPa
Temperature = 28 °C, Humidity = 47 %, Pressure = 930 hPa
Temperature = 33 °C, Humidity = 86 %, Pressure = 1087 hPa
Temperature = 26 °C, Humidity = 86 %, Pressure = 1087 hPa
Temperature = 28 °C, Humidity = 46 %, Pressure = 1087 hPa
Temperature = 28 °C, Humidity = 46 %, Pressure = 948 hPa
Temperature = 16 °C, Humidity = 30 %, Pressure = 948 hPa
Temperature = 39 °C, Humidity = 30 %, Pressure = 948 hPa
Temperature = 19 °C, Humidity = 73 %, Pressure = 1097 hPa
Temperature = 33 °C, Humidity = 73 %, Pressure = 1097 hPa
Temperature = 27 °C, Humidity = 32 %, Pressure = 1097 hPa
Temperature = 27 °C, Humidity = 32 %, Pressure = 986 hPa
Temperature = 29 °C, Humidity = 47 %, Pressure = 986 hPa
Temperature = 17 °C, Humidity = 47 %, Pressure = 986 hPa
Temperature = 15 °C, Humidity = 36 %, Pressure = 1090 hPa
Temperature = 31 °C, Humidity = 36 %, Pressure = 1090 hPa
Temperature = 35 °C, Humidity = 67 %, Pressure = 1090 hPa
Temperature = 16 °C, Humidity = 67 %, Pressure = 965 hPa
Temperature = 25 °C, Humidity = 56 %, Pressure = 965 hPa
Temperature = 38 °C, Humidity = 56 %, Pressure = 965 hPa
Temperature = 37 °C, Humidity = 94 %, Pressure = 1066 hPa
Temperature = 23 °C, Humidity = 94 %, Pressure = 1066 hPa
Temperature = 20 °C, Humidity = 41 %, Pressure = 1066 hPa
Temperature = 17 °C, Humidity = 41 %, Pressure = 994 hPa
Temperature = 31 °C, Humidity = 37 %, Pressure = 994 hPa
Temperature = 35 °C, Humidity = 37 %, Pressure = 994 hPa
Temperature = 15 °C, Humidity = 29 %, Pressure = 1093 hPa
Temperature = 26 °C, Humidity = 29 %, Pressure = 1093 hPa
Temperature = 21 °C, Humidity = 91 %, Pressure = 1093 hPa
Temperature = 34 °C, Humidity = 91 %, Pressure = 1076 hPa
Temperature = 27 °C, Humidity = 42 %, Pressure = 1076 hPa
Temperature = 29 °C, Humidity = 42 %, Pressure = 1076 hPa
Temperature = 27 °C, Humidity = 91 %, Pressure = 903 hPa
Temperature = 40 °C, Humidity = 91 %, Pressure = 903 hPa
Temperature = 35 °C, Humidity = 30 %, Pressure = 903 hPa
Temperature = 18 °C, Humidity = 30 %, Pressure = 1063 hPa
Temperature = 33 °C, Humidity = 88 %, Pressure = 1063 hPa
Temperature = 39 °C, Humidity = 88 %, Pressure = 1063 hPa
Temperature = 26 °C, Humidity = 23 %, Pressure = 1068 hPa
Temperature = 30 °C, Humidity = 23 %, Pressure = 1068 hPa
Temperature = 30 °C, Humidity = 36 %, Pressure = 1068 hPa
Temperature = 25 °C, Humidity = 36 %, Pressure = 998 hPa
Temperature = 20 °C, Humidity = 72 %, Pressure = 998 hPa
